ID,Titulo,Epic,Tipo,Prioridad,Estimacion,Responsable,Estado,Dependencias,Entregable,Criterio
HU-11,Modelar inventario y facturacion,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,HU-10,"entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/inventory/; entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/billing/","Soporta ventas facturas y pagos"
HU-12,Modelar notificacion y mantenimiento,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,HU-11,"entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/notification/; entregables/estructura-base-datos/db-structure 1/01_ddl/03_tables/maintenance/","Dominios separados y trazables"
HU-13,Crear objetos de consulta,Modelo fisico por dominios,Historia,Alta,8,juanPabloGomezPerdomo,Ready,HU-12,"entregables/estructura-base-datos/db-structure 1/01_ddl/04_views/; entregables/estructura-base-datos/db-structure 1/01_ddl/05_materialized_views/; entregables/estructura-base-datos/db-structure 1/01_ddl/06_functions/","Cada objeto vive en archivo propio"
HU-14,Crear reglas e indices,Modelo fisico por dominios,Historia,Alta,8,DannaValentinaBarrios,Ready,HU-13,"entregables/estructura-base-datos/db-structure 1/01_ddl/07_procedures/; entregables/estructura-base-datos/db-structure 1/01_ddl/08_triggers/; entregables/estructura-base-datos/db-structure 1/01_ddl/09_indexes/","Reglas e indices cargan por changelog"
HU-15,Cargar datos de parametrizacion y seguridad,Datos seguridad y transacciones,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,HU-12,"entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/001_configuration.sql; entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/002_security.sql","Existe usuario funcional ariel5253"
HU-16,Cargar datos de operacion hotelera,Datos seguridad y transacciones,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,HU-15,"entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/003_distribution.sql; entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/004_service_delivery.sql","Reservas y estadias se pueden consultar"
HU-17,Cargar datos administrativos,Datos seguridad y transacciones,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,HU-16,"entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/005_inventory.sql; entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/006_billing.sql","Inventario facturacion y pagos tienen datos"
HU-18,Cargar datos de comunicacion y mantenimiento,Datos seguridad y transacciones,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,HU-17,"entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/007_notification.sql; entregables/estructura-base-datos/db-structure 1/02_dml/00_inserts/008_maintenance.sql","Alertas promociones y mantenimiento tienen datos"
HU-19,Configurar usuario de evaluacion,Datos seguridad y transacciones,Historia,Alta,5,JohanStevenRodriguezCharr,Ready,HU-14,entregables/estructura-base-datos/db-structure 1/03_dcl/00_roles/001_roles.sql,"ariel5253 hereda solo ddl_dml_evaluator"
HU-20,Asignar permisos controlados,Datos seguridad y transacciones,Historia,Alta,3,juanPabloGomezPerdomo,Ready,HU-19,entregables/estructura-base-datos/db-structure 1/03_dcl/01_grants/001_grants.sql,"PUBLIC queda restringido y evaluador puede validar"
HU-21,Ajustar policies RLS,Datos seguridad y transacciones,Historia,Alta,3,juanPabloGomezPerdomo,Ready,HU-20,entregables/estructura-base-datos/db-structure 1/03_dcl/02_policies/001_rls_policies.sql,"RLS permite validacion con rol evaluador"
HU-22,Registrar bloques transaccionales,Datos seguridad y transacciones,Historia,Media,3,JhonCamiloSuazaSanchez,Ready,HU-21,entregables/estructura-base-datos/db-structure 1/04_tcl/,"TCL referenciado y con recuperacion documentada"
HU-23,Cerrar con evidencia,Cierre y evidencia,Historia,Alta,5,juanPabloGomezPerdomo,Backlog,HU-22,"entregables/estructura-base-datos/db-structure 1/scripts/smoke-test.sql; entregables/estructura-base-datos/db-structure 1/scripts/ariel-ddl-permission-test.sql; entregables/estructura-base-datos/db-structure 1/scripts/load-postgres.ps1; docs/entrega-base-datos/guia_ejecucion_y_validacion.md; docs/entrega-base-datos/orden_carga.md; docs/entrega-base-datos/seguimientos.md","Conteos esperados rol ariel restringido y pruebas auxiliares documentadas"
